1,holiday,4.65,1
1,nobly,2.37,1
1,showdown,3.4,1
1,stiff,3.85,1
1,contraption,2.77,1
1,roadworthy,1.63,1
1,burglarize,1.55,1
1,sweepstake,1.89,0
1,mismanage,1.51,1
1,misdirect,1.94,1
1,picture,5.15,1
1,poky,1.86,1
1,laddish,1.28,1
1,stroppy,1.92,1
1,roadworthy,1.63,1
1,stolid,1.93,1
1,protestation,1.81,1
1,acclimatize,1.81,1
1,blusher,1.88,1
1,hailstone,1.74,1
1,advance,4.65,1
1,windowpane,1.99,1
1,shuttlecock,1.91,1
1,"easterner, Easterner",1.43,1
1,clipart,1.8,1
1,straggle,1.4,1
1,spidery,1.91,1
1,launderette,1.96,1
1,agritourism,1.39,1
1,unfurnished,1.99,1
1,awareness,4.45,1
1,bootcut,1.49,0
1,bumbag,1.18,1
1,godparent,1.75,1
1,schoolchild,1.68,1
1,gearstick,1.07,1
1,misjudgment,1.97,1
1,Freecycle,1.49,1
1,assemblywoman,1.96,1
1,oversleep,1.93,1
1,assure,4.04,1
1,perspicacious,1.66,0
1,ovulate,1.94,0
1,bedsit,1.85,1
1,evacuee,1.92,1
1,collocation,1.96,1
1,prickle,1.88,1
1,bioethanol,1.71,0
1,teleworking,1.63,1
1,titter,1.87,1
1,nostril,2.76,1
1,outmanoeuvre,1.51,0
1,mishandle,1.48,1
1,teethe,1.01,1
1,qualm,1.9,1
1,headhunt,1.16,0
1,gobbledygook,1.89,1
1,embroil,1.68,0
1,misdirect,1.94,0
1,blusher,1.88,1
1,pronouncement,2.56,1
1,absently,1.62,1
1,lacerate,1.52,1
1,prickle,1.88,1
1,joyriding,1.81,1
1,Sellotape,1.83,1
1,subsume,1.83,1
1,dustman,1.72,1
1,misinform,1.6,1
1,hospitalize,1.74,1
1,compact,4.03,1
1,glower,1.59,1
1,microblogging,1.96,1
1,"sportsman, sportswoman",1.93,1
1,stripy,1.96,1
1,burglarize,1.55,1
1,hailstone,1.74,1
1,pilfer,1.95,1
1,bedsit,1.85,1
1,divorcée,1.67,1
1,parenthood,3.29,1
1,mousy,1.97,1
1,gearstick,1.07,1
1,appal,1.59,1
1,plughole,1.46,1
1,asphyxiate,1.82,1
